occurrenceyear,occurrencemonth,occurrenceday,occurrencedayofyear,occurrencedayofweek,occurrencehour,MCI,Division,Hood_ID,premisetype,occurenceday
0,0,18.0,0,0,0,0,0,0,0,0
0,1,15.0,1,1,1,0,1,1,0,1
0,1,16.0,2,2,2,1,2,2,1,2
0,2,26.0,3,3,3,1,2,3,2,3
0,0,18.0,0,0,4,0,3,4,0,0
0,3,10.0,4,0,5,1,4,5,1,4
0,0,14.0,5,4,1,0,5,6,3,5
0,2,17.0,6,5,6,2,5,6,3,6
0,2,18.0,7,6,7,0,6,7,0,0
0,0,1.0,8,5,8,0,7,8,2,7
0,0,1.0,8,5,9,0,8,9,0,7
0,0,8.0,9,5,10,1,9,10,4,8
0,0,8.0,9,5,11,0,1,11,2,8
0,0,11.0,10,0,3,0,10,12,3,9
0,0,16.0,11,6,2,0,2,13,3,2
0,0,16.0,11,6,12,0,6,14,3,2
0,0,16.0,11,6,5,1,2,2,4,2
0,0,16.0,11,6,1,1,11,15,0,2
0,0,17.0,12,3,13,1,1,16,4,6
0,0,17.0,12,3,14,0,2,2,1,6
0,0,17.0,12,3,15,2,1,1,2,6
0,0,17.0,12,3,9,0,12,17,1,6
0,0,19.0,13,1,16,0,11,18,0,10
0,0,19.0,13,1,15,0,8,19,0,10
0,0,19.0,13,1,17,0,7,20,4,10
0,0,26.0,14,1,8,0,13,21,2,3
0,0,7.0,15,4,12,0,10,22,1,11
0,2,1.0,16,2,17,3,4,4,1,7
0,1,10.0,17,4,12,1,10,23,2,4
0,4,9.0,18,0,18,3,14,24,0,12
0,4,17.0,19,1,2,1,14,25,0,6
0,4,25.0,20,2,8,1,0,12,0,13
0,2,9.0,21,4,19,1,0,26,0,12
0,2,26.0,3,3,20,0,8,27,2,3
0,2,26.0,3,3,1,1,13,28,0,3
0,2,24.0,22,5,8,2,13,29,3,14
0,0,26.0,14,1,4,1,3,30,4,3
0,0,27.0,23,2,2,0,15,31,1,15
0,0,27.0,23,2,2,0,14,32,1,15
0,5,29.0,24,0,15,0,8,33,2,16
0,0,7.0,15,4,19,0,12,17,1,11
0,4,16.0,25,0,4,2,14,34,0,2
0,4,18.0,26,2,0,0,1,35,4,0
0,4,18.0,26,2,2,1,13,36,4,0
0,4,18.0,26,2,1,2,6,7,3,0
0,4,24.0,27,1,2,1,16,37,4,14
0,4,16.0,25,0,2,0,7,8,2,2
0,2,10.0,28,5,11,0,13,38,2,4
0,2,10.0,28,5,11,1,15,39,1,4
0,2,10.0,28,5,2,1,15,31,1,4
0,2,17.0,6,5,17,0,5,6,0,6
0,2,17.0,6,5,6,2,3,30,1,6
0,2,18.0,7,6,5,0,2,40,3,0
0,2,18.0,7,6,5,1,8,41,4,0
0,0,8.0,9,5,15,1,16,42,4,8
0,0,11.0,10,0,0,0,10,43,1,9
0,0,11.0,10,0,1,2,3,44,3,9
0,1,19.0,29,6,12,1,4,45,2,10
0,4,23.0,30,0,18,2,15,46,3,17
0,4,23.0,30,0,3,0,11,15,0,17
0,0,16.0,11,6,3,1,6,14,4,2
0,0,17.0,12,3,0,2,0,12,3,6
0,0,19.0,13,1,2,0,10,47,0,10
0,0,27.0,23,2,8,0,13,48,1,15
0,0,8.0,9,5,16,1,9,49,1,8
0,0,8.0,9,5,15,0,13,38,0,8
0,0,11.0,10,0,21,0,16,50,1,9
0,0,11.0,10,0,0,1,5,6,0,9
0,0,11.0,10,0,13,0,15,51,2,9
0,0,16.0,11,6,20,1,13,29,4,2
0,0,17.0,12,3,16,1,10,52,0,6
0,0,19.0,13,1,6,0,2,40,2,10
0,0,19.0,13,1,16,0,0,53,0,10
0,0,19.0,13,1,11,0,8,27,1,10
0,6,24.0,31,6,22,1,3,44,1,14
